AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
53,0.10282464449999999,1170,'2 2BR','1980-1989',105500
65,4.48,1367,'4 4BR+','1980-1989',0
50,0.2301677419,1356,'2 2BR','2000-2009',150000
87,0.4692857143,1149,'1 1BR','1980-1989',0
21,0.24583380440000002,542,'2 2BR','2000-2009',44225
50,0.0852352941,710,'3 3BR','2000-2009',62000
-9,-9.0,910,'3 3BR','2000-2009',-9
53,0.201960202,979,'4 4BR+','2000-2009',101000
23,0.9183529412,658,'1 1BR','2000-2009',17000
31,0.4028,1059,'3 3BR','2000-2009',30000
34,0.13072340429999998,910,'3 3BR','2000-2009',94000
32,0.7252,979,'4 4BR+','2000-2009',30000
-9,-9.0,1283,'4 4BR+','2000-2009',-9
49,0.0482073164,961,'3 3BR','2000-2009',88000
49,0.2898333333,830,'3 3BR','2000-2009',72000
20,0.1941,870,'3 3BR','1980-1989',40000
27,0.1465714286,584,'2 2BR','1980-1989',56000
80,0.174159292,1069,'1 1BR','2000-2009',0
43,0.28053333329999997,1383,'3 3BR','1980-1989',90000
32,0.46125,1470,'4 4BR+','2000-2009',80000
-9,-9.0,896,'2 2BR','2000-2009',-9
30,0.7655,1470,'4 4BR+','2000-2009',48000
71,0.4019464720000001,974,'2 2BR','1980-1989',16500
43,0.25692,1612,'4 4BR+','2000-2009',25000
35,0.2958415842,1470,'4 4BR+','2000-2009',100000
57,0.2618769231,1517,'4 4BR+','1980-1989',130000
74,0.48162162159999994,1517,'4 4BR+','2000-2009',0
39,0.3077862595,1517,'4 4BR+','2000-2009',130000
22,0.2268,671,'1 1BR','1980-1989',50000
37,0.2277818182,1157,'3 3BR','1990-1999',55000
57,0.1574117647,1477,'3 3BR','1980-1989',85000
-9,-9.0,900,'3 3BR','1990-1999',-9
37,0.3293617021,715,'2 2BR','1980-1989',0
47,0.4644705882,579,'1 1BR','1980-1989',17000
65,0.147519685,930,'3 3BR','2000-2009',50000
59,0.130944,1075,'4 4BR+','1980-1989',125000
39,0.2481882353,1491,'3 3BR','2000-2009',85000
23,7.1,615,'2 2BR','2000-2009',1200
74,0.3908171206,791,'3 3BR','1980-1989',0
57,0.342,791,'3 3BR','1990-1999',20000
68,0.10391752580000001,985,'4 4BR+','1980-1989',27500
83,0.2060689655,708,'2 2BR','1980-1989',0
48,0.6798994975,925,'3 3BR','2000-2009',0
66,0.31704006690000003,1090,'4 4BR+','2000-2009',0
40,0.0777931034,1090,'4 4BR+','1980-1989',127000
