,AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
268,66,0.1399250936,517,'1 1BR','1980-1989',350
269,25,0.1666264187,664,'2 2BR','1980-1989',58000
270,41,0.2362079619,830,'2 2BR','1980-1989',34000
271,56,0.1320696043,883,'3 3BR','1990-1999',74000
272,60,0.1501988146,991,'4 4BR+','2000-2009',80000
273,28,0.1704443155,883,'3 3BR','2000-2009',100000
274,56,0.089281952,1185,'3 3BR','1980-1989',341943
275,71,0.4385237742,706,'1 1BR','2000-2009',0
276,65,0.24963322420000003,893,'2 2BR','1980-1989',15800
277,49,0.3820743821,949,'3 3BR','1980-1989',26000
278,63,0.2718181818,1032,'3 3BR','1980-1989',0
279,38,0.5777505977,907,'3 3BR','1980-1989',36000
280,-9,-9.0,542,'1 1BR','1980-1989',-9
281,49,0.2346131059,1343,'3 3BR','2000-2009',103000
282,60,0.167613474,1251,'3 3BR','1980-1989',175000
283,55,0.1934035446,1573,'4 4BR+','2000-2009',158400
284,-9,-9.0,1191,'1 1BR','1980-1989',-9
285,44,0.1222642903,1467,'4 4BR+','1980-1989',130000
286,26,0.1898035957,1057,'2 2BR','2000-2009',130000
287,-9,-9.0,844,'1 1BR','2000-2009',-9
288,43,0.4181718117,1530,'3 3BR','2000-2009',40000
289,33,0.1931720707,1760,'4 4BR+','2000-2009',35000
290,64,0.6594613141,1989,'4 4BR+','2000-2009',35000
291,31,0.29963290010000004,1530,'3 3BR','2000-2009',60500
292,57,0.1897928974,1530,'3 3BR','2000-2009',75000
293,50,0.19959459899999998,1760,'4 4BR+','2000-2009',121000
294,-9,-9.0,1064,'2 2BR','1980-1989',-9
295,80,0.2159399457,843,'3 3BR','1980-1989',0
296,66,0.6115789474000001,566,'1 1BR','1980-1989',0
297,-9,-9.0,1094,'4 4BR+','2000-2009',-9
298,31,0.1340596576,683,'2 2BR','2000-2009',159000
299,39,0.1706187391,907,'3 3BR','2000-2009',56000
300,93,0.2852830189,907,'3 3BR','2000-2009',0
301,-9,-9.0,907,'3 3BR','2000-2009',-9
302,69,0.1924363636,683,'2 2BR','2000-2009',20000
303,72,2.8524020837,907,'3 3BR','2000-2009',0
304,46,0.1805727706,1251,'3 3BR','1980-1989',46000
305,35,0.40714669670000003,1497,'4 4BR+','2000-2009',77200
306,41,0.2321925449,1497,'4 4BR+','2000-2009',156000
307,39,0.23561227699999998,1302,'3 3BR','2000-2009',54000
308,61,0.45839181869999995,1377,'4 4BR+','1980-1989',20000
309,-9,-9.0,988,'3 3BR','1980-1989',-9
310,87,0.219047619,1039,'3 3BR','1980-1989',0
311,56,0.1512065618,1214,'4 4BR+','2000-2009',94000
312,53,0.1408849335,1136,'4 4BR+','2000-2009',169200
313,-9,-9.0,1573,'4 4BR+','1980-1989',-9
314,51,0.1649619216,1032,'3 3BR','1980-1989',50000
315,33,0.2121021232,602,'1 1BR','1980-1989',27000
316,59,0.1610793533,988,'3 3BR','1980-1989',90000
317,41,0.4105894975,1058,'3 3BR','2000-2009',32000
318,27,0.2277897969,729,'1 1BR','2000-2009',43000
319,29,0.5607142857,729,'1 1BR','1980-1989',0
320,46,0.1206727774,1187,'4 4BR+','2000-2009',45000
321,70,0.030092128500000002,773,'2 2BR','2000-2009',0
322,29,0.0904936552,729,'1 1BR','1980-1989',102000
323,-9,-9.0,1285,'4 4BR+','2000-2009',-9
324,42,0.2018585305,1058,'3 3BR','2000-2009',38000
325,47,0.1199394737,1285,'4 4BR+','2000-2009',165000
326,-9,-9.0,1058,'3 3BR','1980-1989',-9
327,27,0.5644316242,864,'2 2BR','1980-1989',17000
